Year,GCF % of GDP
1960,17.9313352865365
1961,19.2621458305748
1962,18.1075707706245
1963,18.9954571073478
1964,19.5298284931731
1965,20.0572229946494
1966,18.3580138166837
1967,18.1975444704142
1968,17.7422497493726
1969,17.6400952350816
1970,18.2114387329606
1971,19.2036157433701
1972,19.5484319397646
1973,18.7007586479427
1974,22.5115175742994
1975,19.5451062648341
1976,19.4192719578301
1977,21.0956125472848
1978,22.6507207546868
1979,23.5953767441188
1980,19.5550034544352
1981,25.5601376265736
1982,25.1341943149186
1983,21.039572118499
1984,23.2914173032368
1985,26.446076903013
1986,26.0656839397255
1987,25.8271313054095
1988,26.2826349946007
1989,26.8610369133862
1990,27.3361977013715
1991,25.1405052776852
1992,27.4402041551128
1993,22.7164105117945
1994,26.3101665544278
1995,29.1523371507615
1996,22.7592531811153
1997,25.6927329061003
1998,24.9753699425285
1999,30.9580879682197
2000,25.6773166834442
2001,29.9078889829133
2002,30.2513001211057
2003,30.8396999425925
2004,35.0964917014107
2005,37.4282640174608
2006,38.9985063718954
2007,41.9507982275664
2008,38.4224196526476
2009,39.2567917555943
2010,39.7856241738856
2011,39.5904214421434
2012,38.3474156730201
2013,34.0232020837191
2014,34.2678056156731
2015,32.1167301358463
2016,30.1726916705577
2017,30.9821757629795
2018,32.3432182059831
2019,30.2210173236751
2020,27.8963066951088
2021,31.1973628091831
